loadable,dla,buffers,runs,samples,host_time,device_time,total_energy,base_energy
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,1,8,4,8388608,426.04,425.812,7.37784,4.78569
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,0,122,10,9994240,564.131,564.131,9.51342,6.32706
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,1,122,10,9994240,566.66,566.757,9.53149,6.39336
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b8.nvdla,0,488,10,9994240,755.222,755.121,12.4052,8.29043
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b8.nvdla,1,488,10,9994240,762.261,762.171,12.5834,8.59488
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b16.nvdla,0,244,10,9994240,625.261,625.032,10.2902,7.04904
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b16.nvdla,1,244,10,9994240,628.355,628.218,10.3596,6.90509
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b128.nvdla,0,30,10,9830400,511.269,511.189,8.7266,5.76145
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b128.nvdla,1,30,10,9830400,511.972,511.989,8.757,5.69723
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4.nvdla,0,61,163,10181632,1418,1417.91,21.6537,15.7445
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4.nvdla,1,61,163,10181632,1458.58,1458.53,22.0931,16.3382
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1024.nvdla,0,8,4,8388608,748.505,748.234,10.8209,9.13864
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1024.nvdla,1,8,4,8388608,768.567,768.306,11.1449,8.99536
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2.nvdla,0,122,163,10181632,2209.59,2209.17,29.9801,24.8604
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2.nvdla,1,122,163,10181632,2262.96,2262.42,30.5349,25.4357
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b16.nvdla,0,15,166,10199040,1014.4,1014.31,14.701,11.5541
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b16.nvdla,1,15,166,10199040,1042.57,1042.57,15.0627,11.6525
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b256.nvdla,0,8,19,9961472,892.298,891.862,13.0614,9.95063
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b256.nvdla,1,8,19,9961472,915.76,915.301,13.3527,10.2146
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b32.nvdla,0,8,156,10223616,955.377,954.931,13.9909,10.6637
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b32.nvdla,1,8,156,10223616,982.682,982.443,14.3236,11.0278
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b256.nvdla,0,15,10,9830400,503.95,503.873,8.60576,5.69689
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b256.nvdla,1,15,10,9830400,504.846,504.598,8.78697,5.94393
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4096.nvdla,0,8,1,8388608,666.666,666.225,9.6071,7.51385
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4096.nvdla,1,8,1,8388608,683.765,683.33,9.83696,7.66307
